Change Component Description : Designator=X1 Old Description=16 MHz ±10ppm Crystal 9pF 40 Ohms 4-SMD, No Lead New Description= 16 MHz ±10ppm Crystal 9pF 40 Ohms 4-SMD, No Lead
Change Component Description : Designator=R150 Old Description=Inrush Current Limiter 5 Ohms ±20% 3 A New Description=Inrush Current Limiter 5 Ohms ±20% 3 A 
Change component parameters: Designator = "DEVICE_ID"; Footprint = "DIPSW-8LPST"; UniqueID = "\WSSXFLLN"
Change component parameters: Designator = "LED26"; Footprint = "RGB_IN-PI22TAT5R5G5B"; UniqueID = "\ZXYQOSFV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Inolux"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters: Designator = "LED27"; Footprint = "RGB_IN-PI22TAT5R5G5B"; UniqueID = "\XYWFQJPN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Inolux"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "IN-PI22TAT5R5G5B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters: Designator = "U6"; Footprint = "8-SOIC(0.154", 3.90mm Width)"; UniqueID = "\NEBNBOXC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "8-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "M24256E-FMN6TP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "256Kbit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "1.6V ~ 5.5V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U7"; Footprint = "8-SOIC(0.154", 3.90mm Width)"; UniqueID = "\ONPWBWEW"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MaxLinear, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "8-SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SP3082EEN-L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "256nodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "4.5V ~ 5.5V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U9"; Footprint = "SOT-223-3"; UniqueID = "\PKTHQFSV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "EVVO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temp."; Value = "-40°C ~ 85°C "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "SOT-223-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "AMS1117-ADJ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Place"; Value = "POP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "ADJ"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetJ1_1 Pin=J1-1
Added Pin To Net: NetName=NetJ1_1 Pin=Q2-3
Added Net: Name=NetJ1_1
Added Pin To Net: NetName=NetJ2_1 Pin=J2-1
Added Pin To Net: NetName=NetJ2_1 Pin=Q3-3
Added Net: Name=NetJ2_1
Added Pin To Net: NetName=NetJ3_1 Pin=J3-1
Added Pin To Net: NetName=NetJ3_1 Pin=Q1-3
Added Net: Name=NetJ3_1
Added Pin To Net: NetName=NetJ4_1 Pin=J4-1
Added Pin To Net: NetName=NetJ4_1 Pin=Q5-3
Added Net: Name=NetJ4_1
Added Pin To Net: NetName=NetJ5_1 Pin=J5-1
Added Pin To Net: NetName=NetJ5_1 Pin=Q6-3
Added Net: Name=NetJ5_1
Added Pin To Net: NetName=NetJ6_1 Pin=J6-1
Added Pin To Net: NetName=NetJ6_1 Pin=Q4-3
Added Net: Name=NetJ6_1
Added Pin To Net: NetName=NetJ7_1 Pin=J7-1
Added Pin To Net: NetName=NetJ7_1 Pin=Q7-3
Added Net: Name=NetJ7_1
Added Pin To Net: NetName=NetJ8_1 Pin=J8-1
Added Pin To Net: NetName=NetJ8_1 Pin=Q8-3
Added Net: Name=NetJ8_1
Added Pin To Net: NetName=NetJ9_1 Pin=J9-1
Added Pin To Net: NetName=NetJ9_1 Pin=Q9-3
Added Net: Name=NetJ9_1
Added Pin To Net: NetName=NetJ10_1 Pin=J10-1
Added Pin To Net: NetName=NetJ10_1 Pin=Q10-3
Added Net: Name=NetJ10_1
Added Pin To Net: NetName=NetJ11_1 Pin=J11-1
Added Pin To Net: NetName=NetJ11_1 Pin=Q12-3
Added Net: Name=NetJ11_1
Added Pin To Net: NetName=NetJ12_1 Pin=J12-1
Added Pin To Net: NetName=NetJ12_1 Pin=Q11-3
Added Net: Name=NetJ12_1
Added Pin To Net: NetName=NetJ13_1 Pin=J13-1
Added Pin To Net: NetName=NetJ13_1 Pin=Q15-3
Added Net: Name=NetJ13_1
Added Pin To Net: NetName=NetJ14_1 Pin=J14-1
Added Pin To Net: NetName=NetJ14_1 Pin=Q14-3
Added Net: Name=NetJ14_1
Added Pin To Net: NetName=NetJ15_1 Pin=J15-1
Added Pin To Net: NetName=NetJ15_1 Pin=Q13-3
Added Net: Name=NetJ15_1
Added Pin To Net: NetName=NetJ16_1 Pin=J16-1
Added Pin To Net: NetName=NetJ16_1 Pin=Q16-3
Added Net: Name=NetJ16_1
Added Pin To Net: NetName=NetJ17_1 Pin=J17-1
Added Pin To Net: NetName=NetJ17_1 Pin=Q17-3
Added Net: Name=NetJ17_1
Added Pin To Net: NetName=NetJ18_1 Pin=J18-1
Added Pin To Net: NetName=NetJ18_1 Pin=Q18-3
Added Net: Name=NetJ18_1
Added Pin To Net: NetName=NetJ19_1 Pin=J19-1
Added Pin To Net: NetName=NetJ19_1 Pin=Q19-3
Added Net: Name=NetJ19_1
Added Pin To Net: NetName=NetJ20_1 Pin=J20-1
Added Pin To Net: NetName=NetJ20_1 Pin=Q20-3
Added Net: Name=NetJ20_1
Added Pin To Net: NetName=NetJ21_1 Pin=J21-1
Added Pin To Net: NetName=NetJ21_1 Pin=Q21-3
Added Net: Name=NetJ21_1
Added Pin To Net: NetName=NetJ22_1 Pin=J22-1
Added Pin To Net: NetName=NetJ22_1 Pin=Q22-3
Added Net: Name=NetJ22_1
Added Pin To Net: NetName=NetJ23_1 Pin=J23-1
Added Pin To Net: NetName=NetJ23_1 Pin=Q23-3
Added Net: Name=NetJ23_1
Added Pin To Net: NetName=NetJ24_1 Pin=J24-1
Added Pin To Net: NetName=NetJ24_1 Pin=Q24-3
Added Net: Name=NetJ24_1
Added Pin To Net: NetName=NetJ25_1 Pin=J25-1
Added Pin To Net: NetName=NetJ25_1 Pin=Q25-3
Added Net: Name=NetJ25_1
Added Pin To Net: NetName=NetJ26_1 Pin=J26-1
Added Pin To Net: NetName=NetJ26_1 Pin=Q27-3
Added Net: Name=NetJ26_1
Added Pin To Net: NetName=NetJ27_1 Pin=J27-1
Added Pin To Net: NetName=NetJ27_1 Pin=Q26-3
Added Net: Name=NetJ27_1
